1,hamilton,44,HAM,Lewis,Hamilton,07/01/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton
2,heidfeld,,HEI,Nick,Heidfeld,10/05/1977,German,http://en.wikipedia.org/wiki/Nick_Heidfeld
3,rosberg,6,ROS,Nico,Rosberg,27/06/1985,German,http://en.wikipedia.org/wiki/Nico_Rosberg
4,alonso,14,ALO,Fernando,Alonso,29/07/1981,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
5,kovalainen,,KOV,Heikki,Kovalainen,19/10/1981,Finnish,http://en.wikipedia.org/wiki/Heikki_Kovalainen
6,nakajima,,NAK,Kazuki,Nakajima,11/01/1985,Japanese,http://en.wikipedia.org/wiki/Kazuki_Nakajima
7,bourdais,,BOU,S̩bastien,Bourdais,28/02/1979,French,http://en.wikipedia.org/wiki/S%C3%A9bastien_Bourdais
8,raikkonen,7,RAI,Kimi,R�_ikk̦nen,17/10/1979,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen
9,kubica,,KUB,Robert,Kubica,07/12/1984,Polish,http://en.wikipedia.org/wiki/Robert_Kubica
10,glock,,GLO,Timo,Glock,18/03/1982,German,http://en.wikipedia.org/wiki/Timo_Glock
11,sato,,SAT,Takuma,Sato,28/01/1977,Japanese,http://en.wikipedia.org/wiki/Takuma_Sato
12,piquet_jr,,PIQ,Nelson,Piquet Jr.,25/07/1985,Brazilian,"http://en.wikipedia.org/wiki/Nelson_Piquet,_Jr."
13,massa,19,MAS,Felipe,Massa,25/04/1981,Brazilian,http://en.wikipedia.org/wiki/Felipe_Massa
14,coulthard,,COU,David,Coulthard,27/03/1971,British,http://en.wikipedia.org/wiki/David_Coulthard
15,trulli,,TRU,Jarno,Trulli,13/07/1974,Italian,http://en.wikipedia.org/wiki/Jarno_Trulli
16,sutil,99,SUT,Adrian,Sutil,11/01/1983,German,http://en.wikipedia.org/wiki/Adrian_Sutil
17,webber,,WEB,Mark,Webber,27/08/1976,Australian,http://en.wikipedia.org/wiki/Mark_Webber
18,button,22,BUT,Jenson,Button,19/01/1980,British,http://en.wikipedia.org/wiki/Jenson_Button
19,davidson,,DAV,Anthony,Davidson,18/04/1979,British,http://en.wikipedia.org/wiki/Anthony_Davidson
20,vettel,5,VET,Sebastian,Vettel,03/07/1987,German,http://en.wikipedia.org/wiki/Sebastian_Vettel
21,fisichella,,FIS,Giancarlo,Fisichella,14/01/1973,Italian,http://en.wikipedia.org/wiki/Giancarlo_Fisichella
22,barrichello,,BAR,Rubens,Barrichello,23/05/1972,Brazilian,http://en.wikipedia.org/wiki/Rubens_Barrichello
23,ralf_schumacher,,SCH,Ralf,Schumacher,30/06/1975,German,http://en.wikipedia.org/wiki/Ralf_Schumacher
24,liuzzi,,LIU,Vitantonio,Liuzzi,06/08/1980,Italian,http://en.wikipedia.org/wiki/Vitantonio_Liuzzi
25,wurz,,WUR,Alexander,Wurz,15/02/1974,Austrian,http://en.wikipedia.org/wiki/Alexander_Wurz
26,speed,,SPE,Scott,Speed,24/01/1983,American,http://en.wikipedia.org/wiki/Scott_Speed
27,albers,,ALB,Christijan,Albers,16/04/1979,Dutch,http://en.wikipedia.org/wiki/Christijan_Albers
28,markus_winkelhock,,WIN,Markus,Winkelhock,13/06/1980,German,http://en.wikipedia.org/wiki/Markus_Winkelhock
29,yamamoto,,YAM,Sakon,Yamamoto,09/07/1982,Japanese,http://en.wikipedia.org/wiki/Sakon_Yamamoto
30,michael_schumacher,,MSC,Michael,Schumacher,03/01/1969,German,http://en.wikipedia.org/wiki/Michael_Schumacher
31,montoya,,MON,Juan,Pablo Montoya,20/09/1975,Colombian,http://en.wikipedia.org/wiki/Juan_Pablo_Montoya
32,klien,,KLI,Christian,Klien,07/02/1983,Austrian,http://en.wikipedia.org/wiki/Christian_Klien
33,monteiro,,TMO,Tiago,Monteiro,24/07/1976,Portuguese,http://en.wikipedia.org/wiki/Tiago_Monteiro
34,ide,,IDE,Yuji,Ide,21/01/1975,Japanese,http://en.wikipedia.org/wiki/Yuji_Ide
35,villeneuve,,VIL,Jacques,Villeneuve,09/04/1971,Canadian,http://en.wikipedia.org/wiki/Jacques_Villeneuve
36,montagny,,FMO,Franck,Montagny,05/01/1978,French,http://en.wikipedia.org/wiki/Franck_Montagny
37,rosa,,DLR,Pedro,de la Rosa,24/02/1971,Spanish,http://en.wikipedia.org/wiki/Pedro_de_la_Rosa
38,doornbos,,DOO,Robert,Doornbos,23/09/1981,Dutch,http://en.wikipedia.org/wiki/Robert_Doornbos
39,karthikeyan,,KAR,Narain,Karthikeyan,14/01/1977,Indian,http://en.wikipedia.org/wiki/Narain_Karthikeyan
40,friesacher,,FRI,Patrick,Friesacher,26/09/1980,Austrian,http://en.wikipedia.org/wiki/Patrick_Friesacher
41,zonta,,ZON,Ricardo,Zonta,23/03/1976,Brazilian,http://en.wikipedia.org/wiki/Ricardo_Zonta
42,pizzonia,,PIZ,Ant̫nio,Pizzonia,11/09/1980,Brazilian,http://en.wikipedia.org/wiki/Ant%C3%B4nio_Pizzonia
43,matta,,,Cristiano,da Matta,19/09/1973,Brazilian,http://en.wikipedia.org/wiki/Cristiano_da_Matta
44,panis,,,Olivier,Panis,02/09/1966,French,http://en.wikipedia.org/wiki/Olivier_Panis
45,pantano,,,Giorgio,Pantano,04/02/1979,Italian,http://en.wikipedia.org/wiki/Giorgio_Pantano
46,bruni,,,Gianmaria,Bruni,30/05/1981,Italian,http://en.wikipedia.org/wiki/Gianmaria_Bruni
47,baumgartner,,,Zsolt,Baumgartner,01/01/1981,Hungarian,http://en.wikipedia.org/wiki/Zsolt_Baumgartner
48,gene,,,Marc,Gen̩,29/03/1974,Spanish,http://en.wikipedia.org/wiki/Marc_Gen%C3%A9
49,frentzen,,,Heinz-Harald,Frentzen,18/05/1967,German,http://en.wikipedia.org/wiki/Heinz-Harald_Frentzen
50,verstappen,,,Jos,Verstappen,04/03/1972,Dutch,http://en.wikipedia.org/wiki/Jos_Verstappen
51,wilson,,,Justin,Wilson,31/07/1978,British,http://en.wikipedia.org/wiki/Justin_Wilson_(racing_driver)
52,firman,,,Ralph,Firman,20/05/1975,Irish,http://en.wikipedia.org/wiki/Ralph_Firman
53,kiesa,,,Nicolas,Kiesa,03/03/1978,Danish,http://en.wikipedia.org/wiki/Nicolas_Kiesa
54,burti,,,Luciano,Burti,05/03/1975,Brazilian,http://en.wikipedia.org/wiki/Luciano_Burti
55,alesi,,,Jean,Alesi,11/06/1964,French,http://en.wikipedia.org/wiki/Jean_Alesi
56,irvine,,,Eddie,Irvine,10/11/1965,British,http://en.wikipedia.org/wiki/Eddie_Irvine
57,hakkinen,,,Mika,H�_kkinen,28/09/1968,Finnish,http://en.wikipedia.org/wiki/Mika_H%C3%A4kkinen
58,marques,,,Tarso,Marques,19/01/1976,Brazilian,http://en.wikipedia.org/wiki/Tarso_Marques
59,bernoldi,,,Enrique,Bernoldi,19/10/1978,Brazilian,http://en.wikipedia.org/wiki/Enrique_Bernoldi
60,mazzacane,,,Gast�_n,Mazzacane,08/05/1975,Argentine,http://en.wikipedia.org/wiki/Gast%C3%B3n_Mazzacane
61,enge,,,Tom����,Enge,11/09/1976,Czech,http://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Enge
62,yoong,,,Alex,Yoong,20/07/1976,Malaysian,http://en.wikipedia.org/wiki/Alex_Yoong
63,salo,,,Mika,Salo,30/11/1966,Finnish,http://en.wikipedia.org/wiki/Mika_Salo
64,diniz,,,Pedro,Diniz,22/05/1970,Brazilian,http://en.wikipedia.org/wiki/Pedro_Diniz
65,herbert,,,Johnny,Herbert,25/06/1964,British,http://en.wikipedia.org/wiki/Johnny_Herbert
66,mcnish,,,Allan,McNish,29/12/1969,British,http://en.wikipedia.org/wiki/Allan_McNish
67,buemi,,BUE,S̩bastien,Buemi,31/10/1988,Swiss,http://en.wikipedia.org/wiki/S%C3%A9bastien_Buemi
69,badoer,,BAD,Luca,Badoer,25/01/1971,Italian,http://en.wikipedia.org/wiki/Luca_Badoer
76,magnussen,,MAG,Jan,Magnussen,04/07/1973,Danish,http://en.wikipedia.org/wiki/Jan_Magnussen
153,alguersuari,,ALG,Jaime,Alguersuari,23/03/1990,Spanish,http://en.wikipedia.org/wiki/Jaime_Alguersuari
154,grosjean,8,GRO,Romain,Grosjean,17/04/1986,French,http://en.wikipedia.org/wiki/Romain_Grosjean
155,kobayashi,10,KOB,Kamui,Kobayashi,13/09/1986,Japanese,http://en.wikipedia.org/wiki/Kamui_Kobayashi
842,gasly,10,GAS,Pierre,Gasly,07/02/1996,French,http://en.wikipedia.org/wiki/Pierre_Gasly
807,hulkenberg,27,HUL,Nico,H�_lkenberg,19/08/1987,German,http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg
808,petrov,,PET,Vitaly,Petrov,08/09/1984,Russian,http://en.wikipedia.org/wiki/Vitaly_Petrov
810,grassi,,DIG,Lucas,di Grassi,11/08/1984,Brazilian,http://en.wikipedia.org/wiki/Lucas_di_Grassi
811,bruno_senna,,SEN,Bruno,Senna,15/10/1983,Brazilian,http://en.wikipedia.org/wiki/Bruno_Senna
812,chandhok,,CHA,Karun,Chandhok,19/01/1984,Indian,http://en.wikipedia.org/wiki/Karun_Chandhok
813,maldonado,13,MAL,Pastor,Maldonado,09/03/1985,Venezuelan,http://en.wikipedia.org/wiki/Pastor_Maldonado
814,resta,,DIR,Paul,di Resta,16/04/1986,British,http://en.wikipedia.org/wiki/Paul_di_Resta
815,perez,11,PER,Sergio,P̩rez,26/01/1990,Mexican,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez
816,ambrosio,,DAM,J̩r̫me,d'Ambrosio,27/12/1985,Belgian,http://en.wikipedia.org/wiki/J%C3%A9r%C3%B4me_d%27Ambrosio
817,ricciardo,3,RIC,Daniel,Ricciardo,01/07/1989,Australian,http://en.wikipedia.org/wiki/Daniel_Ricciardo
818,vergne,25,VER,Jean-��ric,Vergne,25/04/1990,French,http://en.wikipedia.org/wiki/Jean-%C3%89ric_Vergne
819,pic,,PIC,Charles,Pic,15/02/1990,French,http://en.wikipedia.org/wiki/Charles_Pic
820,chilton,4,CHI,Max,Chilton,21/04/1991,British,http://en.wikipedia.org/wiki/Max_Chilton
821,gutierrez,21,GUT,Esteban,Guti̩rrez,05/08/1991,Mexican,http://en.wikipedia.org/wiki/Esteban_Guti%C3%A9rrez
822,bottas,77,BOT,Valtteri,Bottas,28/08/1989,Finnish,http://en.wikipedia.org/wiki/Valtteri_Bottas
823,garde,,VDG,Giedo,van der Garde,25/04/1985,Dutch,http://en.wikipedia.org/wiki/Giedo_van_der_Garde
824,jules_bianchi,17,BIA,Jules,Bianchi,03/08/1989,French,http://en.wikipedia.org/wiki/Jules_Bianchi
825,kevin_magnussen,20,MAG,Kevin,Magnussen,05/10/1992,Danish,http://en.wikipedia.org/wiki/Kevin_Magnussen
826,kvyat,26,KVY,Daniil,Kvyat,26/04/1994,Russian,http://en.wikipedia.org/wiki/Daniil_Kvyat
827,lotterer,45,LOT,Andr̩,Lotterer,19/11/1981,German,http://en.wikipedia.org/wiki/Andr%C3%A9_Lotterer
828,ericsson,9,ERI,Marcus,Ericsson,02/09/1990,Swedish,http://en.wikipedia.org/wiki/Marcus_Ericsson
829,stevens,28,STE,Will,Stevens,28/06/1991,British,http://en.wikipedia.org/wiki/Will_Stevens
830,max_verstappen,33,VER,Max,Verstappen,30/09/1997,Dutch,http://en.wikipedia.org/wiki/Max_Verstappen
831,nasr,12,NAS,Felipe,Nasr,21/08/1992,Brazilian,http://en.wikipedia.org/wiki/Felipe_Nasr
832,sainz,55,SAI,Carlos,Sainz,01/09/1994,Spanish,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.
833,merhi,98,MER,Roberto,Merhi,22/03/1991,Spanish,http://en.wikipedia.org/wiki/Roberto_Merhi
834,rossi,53,RSS,Alexander,Rossi,25/09/1991,American,http://en.wikipedia.org/wiki/Alexander_Rossi_%28racing_driver%29
835,jolyon_palmer,30,PAL,Jolyon,Palmer,20/01/1991,British,http://en.wikipedia.org/wiki/Jolyon_Palmer
836,wehrlein,94,WEH,Pascal,Wehrlein,18/10/1994,German,http://en.wikipedia.org/wiki/Pascal_Wehrlein
837,haryanto,88,HAR,Rio,Haryanto,22/01/1993,Indonesian,http://en.wikipedia.org/wiki/Rio_Haryanto
838,vandoorne,2,VAN,Stoffel,Vandoorne,26/03/1992,Belgian,http://en.wikipedia.org/wiki/Stoffel_Vandoorne
839,ocon,31,OCO,Esteban,Ocon,17/09/1996,French,http://en.wikipedia.org/wiki/Esteban_Ocon
840,stroll,18,STR,Lance,Stroll,29/10/1998,Canadian,http://en.wikipedia.org/wiki/Lance_Stroll
841,giovinazzi,36,GIO,Antonio,Giovinazzi,14/12/1993,Italian,http://en.wikipedia.org/wiki/Antonio_Giovinazzi
843,brendon_hartley,39,HAR,Brendon,Hartley,10/11/1989,New Zealander,http://en.wikipedia.org/wiki/Brendon_Hartley
